## Station Listing
## Station Lines are identified by a line with 
## "Line" LineName CentrePos CoastPnt
## Station positions are identified by a line with 
## Longitude Latitude DistFromCoast Depth StationNumber StationLabel
# Line GG 	13.4535/-19.8348	13.022/-19.9506
13.4175	-23.4780	111.2	  270	 6	A6 
13.2424	-23.5226	129.7	  363	 7	A7 
13.0672	-23.5671	148.3	  513	 8	A8 
12.8919	-23.6114	166.8	  904	 9	A9 
12.7164	-23.6555	185.3	 1462	10	A10
12.5408	-23.6994	203.9	 1775	11	A11
12.3652	-23.7431	222.4	 2124	12	A12
12.1894	-23.7866	240.9	 2421	13	A13
12.0135	-23.8299	259.5	 2771	14	A14
11.8374	-23.8730	278.0	 2957	15	A15
11.6613	-23.9159	296.5	 3125	16	A16
11.4850	-23.9586	315.1	 3350	17	A17
11.3086	-24.0011	333.6	 3468	18	A18
11.1321	-24.0434	352.1	 3588	19	A19
10.9555	-24.0854	370.6	 3693	20	A20
10.7788	-24.1273	389.2	 3777	21	A21
# Line B 	14.6536/-23.6764	14.496/-23.7177
14.3209	-23.7635	 18.5	  102	 1	B1 
14.1458	-23.8092	 37.1	  146	 2	B2 
13.9705	-23.8546	 55.6	  198	 3	B3 
13.7951	-23.8999	 74.1	  202	 4	B4 
13.6195	-23.9449	 92.7	  218	 5	B5 
13.4438	-23.9898	111.2	  281	 6	B6 
13.2681	-24.0344	129.7	  435	 7	B7 
13.0921	-24.0789	148.3	  960	 8	B8 
12.9161	-24.1231	166.8	 1403	 9	B9 
12.7400	-24.1672	185.3	 1895	10	B10
12.5637	-24.2110	203.9	 2401	11	B11
12.3873	-24.2546	222.4	 2671	12	B12
12.2108	-24.2981	240.9	 3033	13	B13
12.0341	-24.3413	259.5	 3201	14	B14
11.8574	-24.3843	278.0	 3357	15	B15
11.6805	-24.4272	296.5	 3460	16	B16
11.5035	-24.4698	315.1	 3586	17	B17
11.3264	-24.5122	333.6	 3754	18	B18
11.1492	-24.5544	352.1	 3919	19	B19
10.9718	-24.5964	370.6	 4038	20	B20
10.7943	-24.6382	389.2	 4106	21	B21
# Line C 	14.8084/-24.156	14.507/-24.2345
14.3312	-24.2803	 18.5	   99	 1	C1 
14.1554	-24.3260	 37.1	  159	 2	C2 
13.9793	-24.3714	 55.6	  196	 3	C3 
13.8032	-24.4166	 74.1	  225	 4	C4 
13.6270	-24.4617	 92.7	  292	 5	C5 
13.4506	-24.5065	111.2	  442	 6	C6 
13.2741	-24.5511	129.7	  765	 7	C7 
13.0974	-24.5955	148.3	 1188	 8	C8 
12.9206	-24.6397	166.8	 1591	 9	C9 
12.7438	-24.6837	185.3	 2023	10	C10
12.5667	-24.7275	203.9	 2613	11	C11
12.3896	-24.7711	222.4	 2872	12	C12
12.2123	-24.8145	240.9	 3190	13	C13
12.0350	-24.8576	259.5	 3394	14	C14
11.8575	-24.9006	278.0	 3549	15	C15
11.6798	-24.9433	296.5	 3693	16	C16
11.5021	-24.9859	315.1	 3868	17	C17
11.3242	-25.0282	333.6	 4004	18	C18
11.1462	-25.0703	352.1	 4139	19	C19
10.9681	-25.1122	370.6	 4224	20	C20
10.7898	-25.1539	389.2	 4284	21	C21
# Line D 	14.9643/-24.6354	14.721/-24.6986
14.5446	-24.7444	 18.5	   46	 1	D1 
14.3681	-24.7901	 37.1	  105	 2	D2 
14.1914	-24.8355	 55.6	  137	 3	D3 
14.0146	-24.8807	 74.1	  180	 4	D4 
13.8377	-24.9257	 92.7	  254	 5	D5 
13.6606	-24.9705	111.2	  408	 6	D6 
13.4834	-25.0151	129.7	  637	 7	D7 
13.3061	-25.0595	148.3	 1108	 8	D8 
13.1287	-25.1036	166.8	 1737	 9	D9 
12.9511	-25.1476	185.3	 2112	10	D10
12.7734	-25.1913	203.9	 2480	11	D11
12.5956	-25.2349	222.4	 2769	12	D12
12.4176	-25.2782	240.9	 3107	13	D13
12.2396	-25.3213	259.5	 3410	14	D14
12.0614	-25.3642	278.0	 3574	15	D15
11.8830	-25.4069	296.5	 3730	16	D16
11.7046	-25.4493	315.1	 3861	17	D17
11.5260	-25.4916	333.6	 3997	18	D18
11.3473	-25.5336	352.1	 4163	19	D19
11.1685	-25.5754	370.6	 4257	20	D20
10.9895	-25.6170	389.2	 4329	21	D21
# Line E 	15.1215/-25.1146	14.8385/-25.1878
14.6614	-25.2336	 18.5	   78	 1	E1 
14.4841	-25.2793	 37.1	  128	 2	E2 
14.3068	-25.3247	 55.6	  170	 3	E3 
14.1293	-25.3699	 74.1	  208	 4	E4 
13.9516	-25.4149	 92.7	  266	 5	E5 
13.7738	-25.4596	111.2	  371	 6	E6 
13.5959	-25.5042	129.7	  489	 7	E7 
13.4179	-25.5485	148.3	  995	 8	E8 
13.2397	-25.5927	166.8	 1520	 9	E9 
13.0614	-25.6366	185.3	 2025	10	E10
12.8830	-25.6803	203.9	 2480	11	E11
12.7044	-25.7237	222.4	 2720	12	E12
12.5257	-25.7670	240.9	 2974	13	E13
12.3469	-25.8100	259.5	 3246	14	E14
12.1680	-25.8529	278.0	 3529	15	E15
11.9889	-25.8955	296.5	 3720	16	E16
11.8097	-25.9378	315.1	 3912	17	E17
11.6303	-25.9800	333.6	 4037	18	E18
11.4509	-26.0219	352.1	 4138	19	E19
11.2713	-26.0637	370.6	 4238	20	E20
11.0915	-26.1052	389.2	 4342	21	E21
# Line F 	15.2798/-25.5937	14.8444/-25.7056
14.6665	-25.7514	 18.5	  100	 1	F1 
14.4885	-25.7970	 37.1	  163	 2	F2 
14.3104	-25.8424	 55.6	  208	 3	F3 
14.1321	-25.8876	 74.1	  230	 4	F4 
13.9537	-25.9326	 92.7	  276	 5	F5 
13.7751	-25.9773	111.2	  377	 6	F6 
13.5964	-26.0219	129.7	  582	 7	F7 
13.4176	-26.0662	148.3	  999	 8	F8 
13.2386	-26.1102	166.8	 1536	 9	F9 
13.0595	-26.1541	185.3	 2057	10	F10
12.8803	-26.1978	203.9	 2348	11	F11
12.7009	-26.2412	222.4	 2816	12	F12
12.5214	-26.2844	240.9	 3159	13	F13
12.3418	-26.3273	259.5	 3348	14	F14
12.1620	-26.3701	278.0	 3599	15	F15
11.9821	-26.4126	296.5	 3758	16	F16
11.8021	-26.4549	315.1	 3911	17	F17
11.6219	-26.4970	333.6	 4050	18	F18
11.4416	-26.5388	352.1	 4207	19	F19
11.2612	-26.5805	370.6	 4350	20	F20
11.0806	-26.6219	389.2	 4450	21	F21
# Line G 	15.4395/-26.0726	14.964/-26.1942
14.7854	-26.2400	 18.5	  130	 1	G1 
14.6066	-26.2856	 37.1	  216	 2	G2 
14.4277	-26.3310	 55.6	  246	 3	G3 
